mean_speed,max_speed,mean_aclr,mean_upaclr,max_upaclr,mean_downaclr,max_downaclr
19.6676470588235,50.4,0.489705882352941,6.81,50.4,-6.10714285714286,-44.1
10.3584905660377,27.9,0.526415094339623,3.84545454545455,17.1,-3.54375,-15.3
1.476,2.7,0.072,1.41428571428571,2.7,-1.35,-2.7
53.8344827586207,90.9,0.43448275862069,11.4146341463415,90.9,-11.627027027027,-90.9
52.6535433070866,86.4,0.0992125984251969,7.38947368421053,77.4,-7.85769230769231,-79.2
13.5367346938776,24.3,0.0183673469387755,6.45882352941176,22.5,-4.95,-22.5
48.5843626373626,90.9,0.0197802197802198,4.39928125,34.577,-3.15856818181818,-13.877
58.9053435114504,75.6,0.185496183206107,3.79830508474576,43.2,-3.50526315789474,-12.6
35.7352941176471,82.8,2.40882352941177,10.71,74.7,-10.1769230769231,-63.9
54.6406779661017,92.7,1.46440677966102,12.795652173913,92.7,-7.99615384615385,-90.9
14.4160714285714,54,0.0160714285714286,4.77391304347826,54,-4.03333333333333,-15.3
20.2864864864865,59.4,0.0121621621621622,4.865625,20.7,-4.55294117647059,-12.6
50.1376629213483,83.7,0.920224719101124,7.44486363636364,62.1,-7.44466666666667,-57.6
40.1130841121495,89.1,0.0252336448598131,13.5878048780488,89.1,-10.8705882352941,-89.1
15.1434782608696,28.8,0.665217391304348,7.875,18.9,-9.9,-17.1
56.4529471698113,98.1,0.227547169811321,8.40475384615385,83.7,-8.89929310344828,-90
59.0850625,143.11,0.07875,6.28691176470588,143.11,-5.60689189189189,-85.5
19.332,32.4,1.008,4.37142857142857,13.5,-4,-12.6
57.5281505586592,94.517,0.0175977653631285,4.76642679738562,82.82,-4.81975533333333,-85.519
56.8029850746269,92.7,0.152238805970149,5.3,81,-5.17034482758621,-83.7
51.3,77.4,0.0079295154185022,4.4191011235955,76.5,-4.20967741935484,-47.7
2.67804878048781,5.4,0.109756097560976,2.475,4.5,-1.35,-2.7
3.35060857142857,7.4216,0.102857142857143,1.64216,3.1465,-1.6027,-3.245
18.2016863876923,34.489,0.152712307692308,2.35692290232558,12.017,-4.35339927619048,-10.4533
21.489676,32.49,0.17883,3.16394,14.771,-2.92320833333333,-9.727
48.6160150993378,91.08,0.00462907284768212,4.61945476190476,21.251,-5.8687153030303,-20.628
47.5918,67.392,0.224824390243902,4.56171428571428,22.501,-4.32891,-16.525
56.5266105263158,75.564,0.00252631578947369,3.64117647058823,15.262,-5.37634782608696,-19.149
59.3393675,76.464,0.1998175,4.22171428571428,11.988,-4.24543684210526,-19.619
26.4822607142857,53.929,0.0245642857142857,4.02145185185185,11.1228,-3.69667586206897,-13.879
19.4299555555556,41.868,0.0587,3.72905,10.259,-3.89398461538462,-18.036
17.5547095454545,29.281,0.0455954545454546,2.83248578947368,25.255,-3.0673762745098,-23.474
16.8816239130435,32.271,0.404113043478261,2.76202857142857,14.902,-4.19625714285714,-12.931
1.37082643958333,4.1204,1.55591666666613e-05,0.716406785714286,1.9311,-1.002932158,-4.11943687
21.0169046153846,42.48,0.0665184615384615,4.73407878787879,17.316,-4.746903125,-12.416
17.4638321212121,38.916,0.0644469696969697,3.647393125,10.728,-3.30773764705882,-14.6043
12.8734328571429,32.94,0.0252842857142857,2.79620512820513,12.024,-3.46071290322581,-13.3953
24.8480084745763,43.128,0.0866983050847457,3.52587777777778,9.36,-2.815109375,-8.173
21.926787254902,49.898,0.0490598039215687,4.00962631578947,14.397,-4.96765777777778,-16.343
40.6676615384615,77.148,0.0503230769230769,5.316,9.7251,-7.13014545454545,-13.452
57.7560551351351,96.156,0.010587027027027,3.89885714285714,15.908,-3.75358936170213,-28.487
36.1179723577236,60.912,-1.1247495708061e-17,4.92478032786885,13.682,-4.84534838709677,-15.444
38.1215243589744,58.716,0.13025641025641,5.20140487804878,19.367,-5.48912432432432,-14.761
54.9561821428571,85.716,0.159432142857143,6.85984615384615,17.172,-5.64759333333333,-11.413
59.3407416666667,99.289,0.0161333333333334,5.09983125,22.25,-6.95533428571429,-24.84
51.8912,79.56,0.0277976744186047,4.33589393939394,20.016,-4.48544603174603,-15.66
27.1671051020408,66.384,0.000367346938775492,5.24000892857143,14.439,-6.98582142857143,-23.147
19.1234444444444,41.833,0.0312111111111111,4.83744,14.185,-5.976575,-13.706
34.5159423076923,46.872,0.144,4.97046153846154,18.0345,-4.68246153846154,-13.752
26.5052625,40.5,0.0209556818181818,3.76692173913044,8.312,-4.08176904761905,-17.856
28.5674752941176,53.748,0.000423529411764716,4.58890588235294,19.947,-4.64267857142857,-21.7875
20.417597826087,55.729,0.0232489130434783,5.68098888888889,17.856,-5.51099130434783,-19.8611
29.02564,49.212,0.041816,5.92728636363636,21.564,-4.58248214285714,-28.7986
23.5581597222222,47.088,0.00150000000000002,6.17022285714286,15.04,-5.83377837837838,-14.78
37.8926869565217,60.912,0.222613043478261,6.57490909090909,12.6328,-5.600325,-25.095
46.1632711538462,64.658,0.00484615384615385,3.30516153846154,19.765,-3.29546923076923,-17.532
48.4219795180723,72.792,0.0347963855421687,3.03087234042553,8.711,-3.98751142857143,-18.8569
37.2538428571429,66.096,0.0554734693877551,4.6014347826087,14.293,-3.96595384615385,-9.693
57.2204716981132,92.772,0.218075471698113,4.7693125,12.884,-6.71714285714286,-21.779
35.7323761538462,63.612,0.0116307692307692,5.12550857142857,18.144,-5.95456,-20.592
46.6451319047619,76.14,0.013217619047619,3.92948407079646,21.06,-4.6448,-22.284
48.6869796511628,76.609,0.0048139534883721,2.52621276595745,9.576,-3.03379487179487,-22.006
